시도,시군구,읍면동,연료,(관용)승용,(관용)승합,(관용)화물,(관용)특수,(자가용)승용,(자가용)승합,(자가용)화물,(자가용)특수,(영업용)승용,(영업용)승합,(영업용)화물,(영업용)특수
부산광역시 ,중구,영주동 ,휘발유,0 ,0 ,0 ,0 ,510 ,0 ,2 ,0 ,0 ,0 ,0 ,0 
부산광역시 ,중구,영주동 ,경유,0 ,0 ,1 ,0 ,590 ,76 ,273 ,4 ,1 ,0 ,62 ,5 
부산광역시 ,중구,영주동 ,엘피지,0 ,0 ,0 ,0 ,251 ,16 ,11 ,0 ,38 ,0 ,2 ,0 
부산광역시 ,중구,영주동 ,전기,0 ,0 ,0 ,0 ,13 ,0 ,8 ,0 ,4 ,0 ,5 ,0 
부산광역시 ,중구,영주동 ,휘발유(유연),0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
부산광역시 ,중구,영주동 ,휘발유(무연),0 ,0 ,0 ,0 ,1009 ,1 ,0 ,0 ,0 ,0 ,0 ,0 
부산광역시 ,중구,영주동 ,하이브리드(휘발유+전기),0 ,0 ,0 ,0 ,85 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
부산광역시 ,중구,영주동 ,하이브리드(경유+전기),0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
부산광역시 ,중구,영주동 ,하이브리드(LPG+전기),0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
부산광역시 ,중구,영주동 ,수소,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
부산광역시 ,중구,영주동 ,기타연료,0 ,0 ,0 ,0 ,0 ,1 ,3 ,0 ,0 ,0 ,1 ,0 
부산광역시 ,중구,대창동1가 ,휘발유,2 ,0 ,0 ,0 ,29 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
부산광역시 ,중구,대창동1가 ,경유,0 ,16 ,2 ,0 ,42 ,16 ,32 ,3 ,0 ,0 ,55 ,55 
부산광역시 ,중구,대창동1가 ,엘피지,0 ,0 ,0 ,0 ,6 ,1 ,1 ,0 ,0 ,0 ,0 ,0 
부산광역시 ,중구,대창동1가 ,전기,1 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 
부산광역시 ,중구,대창동1가 ,휘발유(무연),16 ,0 ,0 ,0 ,73 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
부산광역시 ,중구,대창동1가 ,하이브리드(휘발유+전기),1 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
부산광역시 ,중구,대창동1가 ,하이브리드(경유+전기),0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
부산광역시 ,중구,대창동1가 ,기타연료,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,151 ,0 
부산광역시 ,중구,대창동2가 ,휘발유,0 ,0 ,0 ,0 ,18 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
부산광역시 ,중구,대창동2가 ,경유,0 ,0 ,0 ,0 ,12 ,7 ,12 ,0 ,0 ,1 ,1 ,23 
부산광역시 ,중구,대창동2가 ,엘피지,0 ,0 ,0 ,0 ,2 ,1 ,0 ,0 ,2 ,0 ,0 ,0 
부산광역시 ,중구,대창동2가 ,휘발유(무연),0 ,0 ,0 ,0 ,20 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
